Date,CountrySubArea,CountrySubAreaUnit,Quantity
2022 35,South,Fujian,2520
2022 36,South,Fujian,2170
2022 37,South,Fujian,2310
2022 38,South,Fujian,2110
2022 39,South,Fujian,2300
2022 40,South,Fujian,2120
2022 41,South,Fujian,1960
2022 42,South,Fujian,2170
2022 43,South,Fujian,2180
2022 44,South,Fujian,2460
2022 45,South,Fujian,2080
2022 46,South,Fujian,1940
2022 47,South,Fujian,2050
2022 48,South,Fujian,2100
2022 49,South,Fujian,2250
2022 50,South,Fujian,2130
2022 51,South,Fujian,2110
2022 52,South,Fujian,2090
2023 01,South,Fujian,1840
2023 02,South,Fujian,1910
2023 03,South,Fujian,1930
2023 04,South,Fujian,1930
2023 05,South,Fujian,2230
2023 06,South,Fujian,2380
2023 07,South,Fujian,2410
2023 08,South,Fujian,2510
2023 09,South,Fujian,2510
2023 10,South,Fujian,2360
2023 11,South,Fujian,2080
2023 12,South,Fujian,2110
2023 13,South,Fujian,2010
2023 14,South,Fujian,1940
2023 15,South,Fujian,1880
2023 16,South,Fujian,1880
2023 17,South,Fujian,1868
2015 01,South,Guangdong,3780
2015 02,South,Guangdong,3740
2015 03,South,Guangdong,3860
2015 04,South,Guangdong,3970
2015 05,South,Guangdong,3790
2015 06,South,Guangdong,3720
2015 07,South,Guangdong,3630
2015 08,South,Guangdong,3150
2015 09,South,Guangdong,3150
2015 10,South,Guangdong,2880
2015 11,South,Guangdong,3230
2015 12,South,Guangdong,3130
2015 13,South,Guangdong,3160
2015 14,South,Guangdong,3090
2015 15,South,Guangdong,2980
2015 16,South,Guangdong,3110
2015 17,South,Guangdong,3010
2015 18,South,Guangdong,3140
2015 19,South,Guangdong,3090
2015 20,South,Guangdong,2810
2015 21,South,Guangdong,2810
2015 22,South,Guangdong,2650
2015 23,South,Guangdong,2670
2015 24,South,Guangdong,2440
2015 25,South,Guangdong,2020
2015 26,South,Guangdong,1880
2015 27,South,Guangdong,1890
2015 28,South,Guangdong,2130
2015 29,South,Guangdong,2010
2015 30,South,Guangdong,2230
2015 31,South,Guangdong,2290
2015 32,South,Guangdong,2520
2015 33,South,Guangdong,2450
2015 34,South,Guangdong,1920
2015 35,South,Guangdong,1720
2015 36,South,Guangdong,1760
2015 37,South,Guangdong,1880
2015 38,South,Guangdong,2650
2015 39,South,Guangdong,2410
2015 40,South,Guangdong,2170
2015 41,South,Guangdong,2170
2015 42,South,Guangdong,2310
2015 43,South,Guangdong,2530
2015 44,South,Guangdong,2190
2015 45,South,Guangdong,2020
2015 46,South,Guangdong,2130
2015 47,South,Guangdong,2420
2015 48,South,Guangdong,2570
2015 49,South,Guangdong,3170
2015 50,South,Guangdong,3240
2015 51,South,Guangdong,3320
2015 52,South,Guangdong,3410
2015 53,South,Guangdong,3080
2016 01,South,Guangdong,3420
2016 02,South,Guangdong,3610
2016 03,South,Guangdong,3450
2016 04,South,Guangdong,3520
2016 05,South,Guangdong,3470
2016 06,South,Guangdong,3200
2016 07,South,Guangdong,3210
2016 08,South,Guangdong,3360
2016 09,South,Guangdong,3490
2016 10,South,Guangdong,3070
2016 11,South,Guangdong,2780
2016 12,South,Guangdong,2690
2016 13,South,Guangdong,2660
2016 14,South,Guangdong,2760
2016 15,South,Guangdong,2850
2016 16,South,Guangdong,2930
2016 17,South,Guangdong,3000
2016 18,South,Guangdong,2920
2016 19,South,Guangdong,2690
2016 20,South,Guangdong,2620
2016 21,South,Guangdong,2410
2016 22,South,Guangdong,2350
2016 23,South,Guangdong,2270
2016 24,South,Guangdong,2310
2016 25,South,Guangdong,1990
2016 26,South,Guangdong,2510
2016 27,South,Guangdong,2480
2016 28,South,Guangdong,2860
2016 29,South,Guangdong,2700
2016 30,South,Guangdong,2860
2016 31,South,Guangdong,2580
2016 32,South,Guangdong,2870
2016 33,South,Guangdong,3130
2016 34,South,Guangdong,3280
2016 35,South,Guangdong,3550
2016 36,South,Guangdong,3470
2016 37,South,Guangdong,3110
2016 38,South,Guangdong,3110
2016 39,South,Guangdong,2970
2016 40,South,Guangdong,2810
2016 41,South,Guangdong,2990
2016 42,South,Guangdong,3670
2016 43,South,Guangdong,3670
2016 44,South,Guangdong,4000
2016 45,South,Guangdong,4640
2016 46,South,Guangdong,5060
2016 47,South,Guangdong,5290
2016 48,South,Guangdong,4900
2016 49,South,Guangdong,4260
2016 50,South,Guangdong,4180
2016 51,South,Guangdong,3970
2016 52,South,Guangdong,3530
2017 01,South,Guangdong,3630
2017 02,South,Guangdong,3920
2017 03,South,Guangdong,4130
2017 04,South,Guangdong,4110
2017 05,South,Guangdong,4240
2017 06,South,Guangdong,4330
2017 07,South,Guangdong,4170
2017 08,South,Guangdong,4300
2017 09,South,Guangdong,4340
2017 10,South,Guangdong,4700
2017 11,South,Guangdong,4750
2017 12,South,Guangdong,4770
2017 13,South,Guangdong,4730
2017 14,South,Guangdong,4790
2017 15,South,Guangdong,4530
2017 16,South,Guangdong,4270
2017 17,South,Guangdong,4150
2017 18,South,Guangdong,3890
2017 19,South,Guangdong,3790
2017 20,South,Guangdong,4170
2017 21,South,Guangdong,3950
2017 22,South,Guangdong,4190
2017 23,South,Guangdong,3780
2017 24,South,Guangdong,3460
2017 25,South,Guangdong,3300
2017 26,South,Guangdong,3260
2017 27,South,Guangdong,3230
2017 28,South,Guangdong,2910
2017 29,South,Guangdong,3060
2017 30,South,Guangdong,3170
2017 31,South,Guangdong,3330
2017 32,South,Guangdong,3220
2017 33,South,Guangdong,3320
2017 34,South,Guangdong,3490
2017 35,South,Guangdong,3240
2017 36,South,Guangdong,3320
2017 37,South,Guangdong,3510
2017 38,South,Guangdong,3230
2017 39,South,Guangdong,3270
2017 40,South,Guangdong,3220
2017 41,South,Guangdong,3220
2017 42,South,Guangdong,2980
2017 43,South,Guangdong,3000
2017 44,South,Guangdong,2950
2017 45,South,Guangdong,2980
2017 46,South,Guangdong,3250
2017 47,South,Guangdong,3210
2017 48,South,Guangdong,2870
2017 49,South,Guangdong,3150
2017 50,South,Guangdong,3080
2017 51,South,Guangdong,3650
2017 52,South,Guangdong,3870
2018 01,South,Guangdong,3970
2018 02,South,Guangdong,4060
2018 03,South,Guangdong,3970
2018 04,South,Guangdong,3950
2018 05,South,Guangdong,3900
2018 06,South,Guangdong,4340
2018 07,South,Guangdong,4420
2018 08,South,Guangdong,4420
2018 09,South,Guangdong,4450
2018 10,South,Guangdong,4440
2018 11,South,Guangdong,4520
2018 12,South,Guangdong,4620
2018 13,South,Guangdong,4900
2018 14,South,Guangdong,5250
2018 15,South,Guangdong,5250
2018 16,South,Guangdong,5310
2018 17,South,Guangdong,4930
2018 18,South,Guangdong,4410
2018 19,South,Guangdong,4110
2018 20,South,Guangdong,4110
2018 21,South,Guangdong,4160
2018 22,South,Guangdong,4190
2018 23,South,Guangdong,4120
2018 24,South,Guangdong,4180
2018 25,South,Guangdong,4100
2018 26,South,Guangdong,4480
2018 27,South,Guangdong,4170
2018 28,South,Guangdong,3960
2018 29,South,Guangdong,3690
2018 30,South,Guangdong,3540
2018 31,South,Guangdong,3730
2018 32,South,Guangdong,4210
2018 33,South,Guangdong,4210
2018 34,South,Guangdong,4210
2018 35,South,Guangdong,4210
2018 36,South,Guangdong,4010
2018 37,South,Guangdong,4310
2018 38,South,Guangdong,4570
2018 39,South,Guangdong,4120
2018 40,South,Guangdong,4120
2018 41,South,Guangdong,4340
2018 42,South,Guangdong,4340
2018 43,South,Guangdong,4290
2018 44,South,Guangdong,4210
2018 45,South,Guangdong,4120
2018 46,South,Guangdong,4050
2018 47,South,Guangdong,3980
2018 48,South,Guangdong,3980
2018 49,South,Guangdong,3530
2018 50,South,Guangdong,3760
2018 51,South,Guangdong,3730
2018 52,South,Guangdong,3910
2019 01,South,Guangdong,3980
2019 02,South,Guangdong,3890
2019 03,South,Guangdong,4180
2019 04,South,Guangdong,3950
2019 05,South,Guangdong,4310
2019 06,South,Guangdong,4080
2019 07,South,Guangdong,4080
2019 08,South,Guangdong,3820
2019 09,South,Guangdong,3650
2019 10,South,Guangdong,3430
2019 11,South,Guangdong,3450
2019 12,South,Guangdong,3480
2019 13,South,Guangdong,3900
2019 14,South,Guangdong,3790
2019 15,South,Guangdong,3630
2019 16,South,Guangdong,3480
2019 17,South,Guangdong,3260
2019 18,South,Guangdong,3710
2019 19,South,Guangdong,3500
2019 20,South,Guangdong,3230
2019 21,South,Guangdong,3020
2019 22,South,Guangdong,3100
2019 23,South,Guangdong,3210
2019 24,South,Guangdong,2960
2019 25,South,Guangdong,2890
2019 26,South,Guangdong,2830
2019 27,South,Guangdong,3080
2019 28,South,Guangdong,2880
2019 29,South,Guangdong,3140
2019 30,South,Guangdong,3420
2019 31,South,Guangdong,3380
2019 32,South,Guangdong,3130
2019 33,South,Guangdong,3210
2019 34,South,Guangdong,3400
2019 35,South,Guangdong,3180
2019 36,South,Guangdong,2970
2019 37,South,Guangdong,2730
2019 38,South,Guangdong,2920
2019 39,South,Guangdong,2930
2019 40,South,Guangdong,2680
2019 41,South,Guangdong,2680
2019 42,South,Guangdong,2840
2019 43,South,Guangdong,3150
2019 44,South,Guangdong,2940
2019 45,South,Guangdong,2750
2019 46,South,Guangdong,3030
2019 47,South,Guangdong,3200
2019 48,South,Guangdong,3360
2019 49,South,Guangdong,3130
2019 50,South,Guangdong,3600
2019 51,South,Guangdong,3580
2019 52,South,Guangdong,3710
2020 01,South,Guangdong,3530
2020 02,South,Guangdong,3600
2020 03,South,Guangdong,3690
2020 04,South,Guangdong,3850
2020 05,South,Guangdong,3800
2020 06,South,Guangdong,3800
2020 07,South,Guangdong,3350
2020 08,South,Guangdong,3350
2020 09,South,Guangdong,3170
2020 10,South,Guangdong,3260
2020 11,South,Guangdong,3490
2020 12,South,Guangdong,3290
2020 13,South,Guangdong,3440
2020 14,South,Guangdong,3290
2020 15,South,Guangdong,3340
2020 16,South,Guangdong,3310
2020 17,South,Guangdong,3060
2020 18,South,Guangdong,2950
2020 19,South,Guangdong,2640
2020 20,South,Guangdong,2410
2020 21,South,Guangdong,2110
2020 22,South,Guangdong,1970
2020 23,South,Guangdong,2170
2020 24,South,Guangdong,2280
2020 25,South,Guangdong,2340
2020 26,South,Guangdong,2520
2020 27,South,Guangdong,2740
2020 28,South,Guangdong,2550
2020 29,South,Guangdong,2920
2020 30,South,Guangdong,2730
2020 31,South,Guangdong,2530
2020 32,South,Guangdong,2410
2020 33,South,Guangdong,2320
2020 34,South,Guangdong,2450
2020 35,South,Guangdong,2630
2020 36,South,Guangdong,2640
2020 37,South,Guangdong,2840
2020 38,South,Guangdong,2850
2020 39,South,Guangdong,2550
2020 40,South,Guangdong,2550
2020 41,South,Guangdong,2970
2020 42,South,Guangdong,2970
2020 43,South,Guangdong,3000
2020 44,South,Guangdong,2800
2020 45,South,Guangdong,3290
2020 46,South,Guangdong,3240
2020 47,South,Guangdong,3250
2020 48,South,Guangdong,3040
2020 49,South,Guangdong,2850
2020 50,South,Guangdong,2900
2020 51,South,Guangdong,2990
2020 52,South,Guangdong,3320
2020 53,South,Guangdong,3160
2021 01,South,Guangdong,3240
2021 02,South,Guangdong,3540
2021 03,South,Guangdong,3640
2021 04,South,Guangdong,3840
2021 05,South,Guangdong,3720
2021 06,South,Guangdong,3420
2021 07,South,Guangdong,3420
2021 08,South,Guangdong,3200
2021 09,South,Guangdong,3340
2021 10,South,Guangdong,3240
2021 11,South,Guangdong,3490
2021 12,South,Guangdong,3590
2021 13,South,Guangdong,3540
2021 14,South,Guangdong,3120
2021 15,South,Guangdong,3070
2021 16,South,Guangdong,2990
2021 17,South,Guangdong,3190
2021 18,South,Guangdong,3340
2021 19,South,Guangdong,3440
2021 20,South,Guangdong,3320
2021 21,South,Guangdong,3240
2021 22,South,Guangdong,3140
2021 23,South,Guangdong,3290
2021 24,South,Guangdong,3390
2021 25,South,Guangdong,3200
2021 26,South,Guangdong,3270
2021 27,South,Guangdong,3020
2021 28,South,Guangdong,3120
2021 29,South,Guangdong,3070
2021 30,South,Guangdong,3140
2021 31,South,Guangdong,3240
2021 32,South,Guangdong,3320
2021 33,South,Guangdong,3420
2021 34,South,Guangdong,3520
2021 35,South,Guangdong,3420
2021 36,South,Guangdong,3500
2021 37,South,Guangdong,3770
2021 38,South,Guangdong,3900
2021 39,South,Guangdong,3800
2021 40,South,Guangdong,3820
2021 41,South,Guangdong,3620
2021 42,South,Guangdong,3700
2021 43,South,Guangdong,3750
2021 44,South,Guangdong,3800
2021 45,South,Guangdong,3970
2021 46,South,Guangdong,4150
2021 47,South,Guangdong,4220
2021 48,South,Guangdong,3980
2021 49,South,Guangdong,4150
2021 50,South,Guangdong,4080
2021 51,South,Guangdong,4300
2021 52,South,Guangdong,4250
2022 01,South,Guangdong,4300
2022 02,South,Guangdong,4450
2022 03,South,Guangdong,4380
2022 04,South,Guangdong,4620
2022 05,South,Guangdong,4300
2022 06,South,Guangdong,4320
2022 07,South,Guangdong,3970
2022 08,South,Guangdong,3800
2022 09,South,Guangdong,3480
2022 10,South,Guangdong,3360
2022 11,South,Guangdong,3280
2022 12,South,Guangdong,3380
2022 13,South,Guangdong,3430
2022 14,South,Guangdong,3500
2022 15,South,Guangdong,3580
2022 16,South,Guangdong,3780
2022 17,South,Guangdong,3600
2022 18,South,Guangdong,3700
2022 19,South,Guangdong,3850
2022 20,South,Guangdong,3580
2022 21,South,Guangdong,3280
2022 22,South,Guangdong,3160
2022 23,South,Guangdong,3280
2022 24,South,Guangdong,3460
2022 25,South,Guangdong,3570
2022 26,South,Guangdong,3520
2022 27,South,Guangdong,3120
2022 28,South,Guangdong,2970
2022 29,South,Guangdong,2860
2022 30,South,Guangdong,3050
2022 31,South,Guangdong,2980
2022 32,South,Guangdong,3180
2022 33,South,Guangdong,3020
2022 34,South,Guangdong,2920
2022 35,South,Guangdong,2770
2022 36,South,Guangdong,2650
2022 37,South,Guangdong,2780
2022 38,South,Guangdong,2970
2022 39,South,Guangdong,2770
2022 40,South,Guangdong,2850
2022 41,South,Guangdong,3070
2022 42,South,Guangdong,3280
2022 43,South,Guangdong,3220
2022 44,South,Guangdong,3280
2022 45,South,Guangdong,3450
2022 46,South,Guangdong,3500
2022 47,South,Guangdong,3200
2022 48,South,Guangdong,3280
2022 49,South,Guangdong,3380
2022 50,South,Guangdong,3270
2022 51,South,Guangdong,3200
2022 52,South,Guangdong,3350
2023 01,South,Guangdong,3120
2023 02,South,Guangdong,2970
2023 03,South,Guangdong,2820
2023 04,South,Guangdong,2750
2023 05,South,Guangdong,2620
2023 06,South,Guangdong,2750
2023 07,South,Guangdong,2700
2023 08,South,Guangdong,2620
2023 09,South,Guangdong,2800
2023 10,South,Guangdong,3060
2023 11,South,Guangdong,3550
2023 12,South,Guangdong,3820
2023 13,South,Guangdong,3750
2023 14,South,Guangdong,3900
2023 15,South,Guangdong,3380
2023 16,South,Guangdong,3550
2023 17,South,Guangdong,3492
2015 01,South,Guangxi,4310
2015 02,South,Guangxi,4260
2015 03,South,Guangxi,4170
2015 04,South,Guangxi,3930
2015 05,South,Guangxi,3700
2015 06,South,Guangxi,3790
2015 07,South,Guangxi,3650
2015 08,South,Guangxi,3830
2015 09,South,Guangxi,3830
2015 10,South,Guangxi,3520
2015 11,South,Guangxi,3190
2015 12,South,Guangxi,3180
2015 13,South,Guangxi,3360
2015 14,South,Guangxi,3200
2015 15,South,Guangxi,2920
2015 16,South,Guangxi,3140
2015 17,South,Guangxi,3250
2015 18,South,Guangxi,3310
2015 19,South,Guangxi,2970
2015 20,South,Guangxi,2800
2015 21,South,Guangxi,2780
2015 22,South,Guangxi,2990
2015 23,South,Guangxi,2730
2015 24,South,Guangxi,2690
2015 25,South,Guangxi,2520
2015 26,South,Guangxi,2730
