Exchange Date,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT,RIC,Description,Interval,Currency,FriendlyName
2015-02-20,,,,63.37,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-23,62.95,62.9,62.95,62.75,55,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-24,63,63,63,63.12,50,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-25,62.72,62.25,62.72,62.4,51,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-26,63.5,62.93,62.93,63.33,85,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-02-27,63.2,63.2,63.2,62.75,4,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-02,61.95,61.9,61.9,61.66,20,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-03,,,,61.66,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-04,61.33,60.52,61.33,59.86,25,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-05,59.25,58.4,59.25,58.67,35,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-06,58.55,57.72,58.3,56.46,100,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-09,58.16,57.3,58.16,57.56,45,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-10,57,56.5,57,56.51,505,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-11,56.7,56.3,56.6,56.91,15,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-12,57.55,57.15,57.5,57.91,25,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-13,56.98,56.85,56.98,56.75,15,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-16,57.16,56.1,56.27,57.54,40,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-17,57.4,56.6,57.4,56.84,117,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-18,55.85,54.9,55.75,53.88,41,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-19,55.29,54.6,55.29,54.29,50,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-20,54.79,52.78,54.79,52.88,15,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-23,54.3,52.8,53.5,51,80,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-24,55.5,54.4,54.44,55.92,70,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-25,55.19,54.9,55.11,54.34,23,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-26,54.5,54,54.41,53.88,90,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-27,53.21,51.9,52.9,52.71,55,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-30,52.34,52,52.34,52.21,6,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-03-31,51.8,51,51.75,51.08,29,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-01,49.6,47.7,49.53,46.75,43,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-02,47.5,46.54,47.5,46.63,41,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-06,,,,46.75,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-07,47.55,46.66,46.66,47.55,34,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-08,47.8,46.75,47.11,48.16,51,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-09,47,46.5,46.62,46.54,111,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-10,46.1,44.9,45.52,46.44,41,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-13,48.5,46.45,47.15,48.62,54,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-14,49.12,48.19,48.19,50.02,35,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-15,50,48.44,49.37,48.75,109,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-16,50.1,49.16,49.16,49.92,43,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-17,50.37,49.2,49.52,50.81,65,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-20,50.96,49.89,49.89,50,33,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-21,49.95,49.15,49.15,50.04,40,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-22,53,50.6,50.99,52.42,50,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-23,52.9,51.79,52.9,52.81,41,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-24,56.52,54.73,54.85,57.05,36,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-27,57.9,56.8,56.96,59,105,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-28,58.5,56.8,57.4,57,84,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-29,56.55,54.6,56.4,54.97,49,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-04-30,55.61,54.51,55.56,54.67,98,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-01,,,,53.25,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-04,54.9,53.89,53.89,55.42,10,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-05,57.23,55.31,55.54,56.37,73,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-06,58.88,56.96,56.96,58.37,32,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-07,57.2,56.3,57.2,57,9,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-08,58.15,56.6,56.6,58,56,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-11,58.32,58.17,58.17,59.04,20,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-12,58.86,57.99,58.86,57.96,22,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-13,58.4,57.01,57.26,57.19,33,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-14,55.95,55.85,55.9,55.75,30,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-15,56.2,55.07,56.2,56.37,35,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-18,,,,56.13,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-19,55.65,55.36,55.6,54.66,45,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-20,53.49,53.49,53.49,53.83,10,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-21,55.2,55,55,55.71,17,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-22,55.6,54.74,55.6,56.37,35,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-25,57,56.47,57,57.75,6,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-26,59.06,57.9,58.92,58.83,30,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-27,,,,58.54,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-28,58.8,58.7,58.8,58.33,10,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-05-29,58,57.8,57.8,59.37,75,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-01,57.65,57.6,57.6,58.06,10,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-02,58.9,58.68,58.68,59.75,10,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-03,,,,58.88,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-04,59.05,58.1,58.2,59.31,41,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-05,59.14,58.46,58.67,58.78,16,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-08,,,,58.25,,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-09,58.84,58.84,58.84,58.87,5,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-10,61,59.4,59.5,61.31,43,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-11,63.45,61.42,61.42,63,35,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-12,62.4,61.3,62.4,60.75,42,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-15,60.98,60.2,60.98,59.53,89,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-16,59.6,59.1,59.6,57.25,20,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-17,57.5,56.7,56.9,56.38,65,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-18,57.9,56.8,56.8,57.58,61,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-19,58,57.72,57.72,57.87,32,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-22,57.8,57.35,57.8,57.06,20,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-23,57.3,57.15,57.3,58.19,10,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-24,60,58.85,58.88,59.5,43,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-25,59.25,58.75,58.9,58.71,24,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-26,58.46,58.3,58.42,58.5,25,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-29,58.26,57.85,58.26,56.96,31,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-06-30,55.9,54.8,55.45,55.14,71,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-01,53.05,52.45,52.45,52.25,367,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-02,52.95,52.4,52.4,51.04,351,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-03,51.61,50.6,51.59,50.42,269,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-06,49.7,47.45,49.7,47.37,199,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-07,46.8,45.75,46.5,46,331,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-08,43.8,42.2,43.4,43.38,77,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-09,47.45,45.52,45.55,47.08,61,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-10,47.9,47,47.52,48,161,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-13,48.06,47.75,47.75,47.83,164,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-14,48.69,48,48.6,48.17,106,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
2015-07-15,47.7,47.15,47.5,47.58,42,-1,SZZFc2,Singapore Exchange Derivatives TSI IronOre CFR China Index Full Session Commodity Future Continuation 2,daily,USD,SGX TSI Iron Ore - Second Month
